	Epoch			Reward
Episode:	673	Avereged	reward:	18.73
Episode:	674	Avereged	reward:	19.8
Episode:	675	Avereged	reward:	19.8
Episode:	676	Avereged	reward:	20.37
Episode:	677	Avereged	reward:	20.3
Episode:	678	Avereged	reward:	20.2
Episode:	679	Avereged	reward:	20.67
Episode:	680	Avereged	reward:	20.8
Episode:	681	Avereged	reward:	21.1
Episode:	682	Avereged	reward:	21.27
Episode:	683	Avereged	reward:	20.97
Episode:	684	Avereged	reward:	20.8
Episode:	685	Avereged	reward:	20.6
Episode:	686	Avereged	reward:	20.57
Episode:	687	Avereged	reward:	20.57
Episode:	688	Avereged	reward:	20.83
Episode:	689	Avereged	reward:	20.73
Episode:	690	Avereged	reward:	20.93
Episode:	691	Avereged	reward:	20.63
Episode:	692	Avereged	reward:	21.1
Episode:	693	Avereged	reward:	20.57
Episode:	694	Avereged	reward:	20.57
Episode:	695	Avereged	reward:	20.37
Episode:	696	Avereged	reward:	19.97
Episode:	697	Avereged	reward:	19.7
Episode:	698	Avereged	reward:	19.8
